epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5656.1,0.27466,0.34144,0.19367,0.92406,0.9965,0.99435,0.99259,0.97709,0.9965,0.99435,0.99259,0.9808,0.2072,0.49371,0.16841,0.91615,0.0003368,0.0003368,0.0003368
86,5721.99,0.27937,0.33855,0.19662,0.92321,0.99649,0.99153,0.99438,0.98058,0.99649,0.99153,0.99438,0.98303,0.18705,0.42425,0.16227,0.8908,0.000317,0.000317,0.000317
87,5788.05,0.26204,0.34869,0.19175,0.91964,0.99435,0.99425,0.99418,0.98163,0.99435,0.99425,0.99418,0.98556,0.18995,0.46899,0.1584,0.89142,0.0002972,0.0002972,0.0002972
88,5854.85,0.26217,0.35096,0.18592,0.91727,0.99675,0.99435,0.99353,0.97851,0.99675,0.99435,0.99353,0.98319,0.1881,0.49569,0.15833,0.88988,0.0002774,0.0002774,0.0002774
89,5921.64,0.26421,0.34466,0.18837,0.91234,0.99673,0.99435,0.99324,0.98041,0.99673,0.99435,0.99324,0.98344,0.1841,0.50309,0.15517,0.89916,0.0002576,0.0002576,0.0002576
90,5982.89,0.27094,0.34626,0.1894,0.92425,0.99648,0.99435,0.99404,0.9839,0.99648,0.99435,0.99404,0.98565,0.18053,0.48905,0.14983,0.90542,0.0002378,0.0002378,0.0002378
91,6032.23,0.1622,0.21512,0.15906,0.89123,0.99398,0.99153,0.99315,0.9783,0.99115,0.9887,0.99305,0.98036,0.18825,0.50952,0.14981,0.91036,0.000218,0.000218,0.000218
92,6084.97,0.1495,0.20134,0.14175,0.883,0.99682,0.99435,0.99358,0.97953,0.99682,0.99435,0.99358,0.98204,0.18715,0.48663,0.14918,0.91235,0.0001982,0.0001982,0.0001982
93,6134.36,0.13899,0.18815,0.13455,0.88523,0.99682,0.99435,0.99418,0.98465,0.99682,0.99435,0.99418,0.98618,0.17192,0.46063,0.14768,0.879,0.0001784,0.0001784,0.0001784
94,6184.94,0.13736,0.17768,0.13064,0.86957,0.99693,0.99435,0.9935,0.98302,0.99693,0.99435,0.9935,0.98557,0.16749,0.47301,0.14411,0.87667,0.0001586,0.0001586,0.0001586
95,6232.38,0.13478,0.1787,0.1287,0.87605,0.99667,0.99435,0.99409,0.98472,0.99667,0.99435,0.99409,0.98591,0.16345,0.46798,0.14183,0.86933,0.0001388,0.0001388,0.0001388
96,6280.49,0.12884,0.17715,0.12267,0.87062,0.99685,0.99435,0.99398,0.98622,0.99685,0.99435,0.99398,0.98636,0.15999,0.46238,0.14241,0.86783,0.000119,0.000119,0.000119
97,6324.89,0.12978,0.17396,0.12275,0.87056,0.99681,0.99435,0.99347,0.98374,0.99681,0.99435,0.99347,0.98517,0.16075,0.46721,0.14647,0.87163,9.92e-05,9.92e-05,9.92e-05
98,6369.26,0.12312,0.17217,0.11962,0.86605,0.99694,0.99435,0.99375,0.98349,0.99694,0.99435,0.99375,0.98649,0.15426,0.46843,0.1391,0.87055,7.94e-05,7.94e-05,7.94e-05
99,6415.17,0.12375,0.17454,0.1198,0.86828,0.99685,0.99435,0.99381,0.98394,0.99685,0.99435,0.99381,0.98595,0.15605,0.47184,0.14015,0.87016,5.96e-05,5.96e-05,5.96e-05
100,6461.39,0.12383,0.16976,0.11753,0.86153,0.99685,0.99435,0.99347,0.98351,0.99685,0.99435,0.99347,0.98604,0.15266,0.47091,0.1386,0.86685,3.98e-05,3.98e-05,3.98e-05
